               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11554,            0.027114,                   0,                   0,                   0,                   0,                   0,            0.086305,            0.024693,                   0,              0.0937,              0.0007,              0.0007
                   1,            0.093532,             0.02623,                   0,                   0,                   0,                   0,                   0,            0.078902,            0.025932,                   0,            0.086496,           0.0014963,           0.0014963
                   2,            0.084464,            0.025699,                   0,                   0,                   0,                   0,                   0,            0.071446,            0.027493,                   0,            0.079289,           0.0022886,           0.0022886
                   3,            0.094505,            0.024114,                   0,                   0,                   0,                   0,                   0,            0.067982,            0.027641,                   0,            0.072077,            0.003077,            0.003077
                   4,            0.092125,            0.023264,                   0,                   0,                   0,                   0,                   0,            0.067597,            0.026886,                   0,            0.064861,           0.0038614,           0.0038614
                   5,            0.097513,            0.023317,                   0,                   0,                   0,                   0,                   0,            0.066924,             0.02611,                   0,            0.057642,           0.0046418,           0.0046418
                   6,            0.089792,            0.021659,                   0,          0.00030303,            0.041667,          0.00016944,          1.6944e-05,            0.066485,            0.025265,                   0,            0.050418,           0.0054183,           0.0054183
                   7,            0.077348,            0.019148,                   0,                   0,                   0,                   0,                   0,            0.062599,            0.025549,                   0,            0.043191,           0.0061909,           0.0061909
                   8,             0.07685,            0.021021,                   0,                   0,                   0,                   0,                   0,            0.072257,            0.021127,                   0,            0.035959,           0.0069594,           0.0069594
                   9,            0.086559,            0.019039,                   0,                   0,                   0,                   0,                   0,            0.072257,            0.021127,                   0,            0.028724,            0.007724,            0.007724
                  10,            0.087314,            0.017402,                   0,                   0,                   0,                   0,                   0,            0.064225,            0.022614,                   0,            0.021485,           0.0084847,           0.0084847
                  11,            0.079105,            0.016275,                   0,                   0,                   0,                   0,                   0,            0.064225,            0.022614,                   0,            0.014241,           0.0092414,           0.0092414
                  12,            0.083379,            0.015437,                   0,                   0,                   0,                   0,                   0,            0.060399,            0.021864,                   0,            0.009703,            0.009703,            0.009703
                  13,            0.087365,            0.016938,                   0,                   0,                   0,                   0,                   0,            0.060399,            0.021864,                   0,            0.009703,            0.009703,            0.009703
                  14,            0.078149,             0.01521,                   0,                   0,                   0,                   0,                   0,            0.054248,            0.023746,                   0,           0.0096783,           0.0096783,           0.0096783
                  15,             0.08304,            0.016239,                   0,                   0,                   0,                   0,                   0,            0.054248,            0.023746,                   0,           0.0096535,           0.0096535,           0.0096535
                  16,            0.091633,            0.012404,                   0,                   0,                   0,                   0,                   0,            0.070646,            0.015295,                   0,           0.0096288,           0.0096288,           0.0096288
                  17,            0.089512,            0.014558,                   0,                   0,                   0,                   0,                   0,            0.070646,            0.015295,                   0,            0.009604,            0.009604,            0.009604
                  18,            0.095752,            0.012878,                   0,                   0,                   0,                   0,                   0,            0.066618,            0.017446,                   0,           0.0095793,           0.0095793,           0.0095793
                  19,            0.086917,            0.015557,                   0,                   0,                   0,                   0,                   0,            0.066618,            0.017446,                   0,           0.0095545,           0.0095545,           0.0095545
                  20,            0.084091,             0.01602,                   0,                   0,                   0,                   0,                   0,            0.062106,            0.020351,                   0,           0.0095298,           0.0095298,           0.0095298
                  21,            0.078615,            0.012745,                   0,                   0,                   0,                   0,                   0,            0.062106,            0.020351,                   0,            0.009505,            0.009505,            0.009505
                  22,            0.067438,            0.011715,                   0,                   0,                   0,                   0,                   0,             0.05477,            0.022038,                   0,           0.0094803,           0.0094803,           0.0094803
                  23,            0.064525,            0.012077,                   0,                   0,                   0,                   0,                   0,             0.05477,            0.022038,                   0,           0.0094555,           0.0094555,           0.0094555
                  24,            0.073097,            0.014569,                   0,                   0,                   0,                   0,                   0,            0.056654,            0.021235,                   0,           0.0094307,           0.0094307,           0.0094307
                  25,            0.070326,            0.012742,                   0,                   0,                   0,                   0,                   0,            0.056654,            0.021235,                   0,            0.009406,            0.009406,            0.009406
                  26,            0.083039,            0.012022,                   0,                   0,                   0,                   0,                   0,            0.047858,            0.024785,                   0,           0.0093813,           0.0093813,           0.0093813
                  27,            0.072433,             0.01418,                   0,                   0,                   0,                   0,                   0,            0.047858,            0.024785,                   0,           0.0093565,           0.0093565,           0.0093565
                  28,            0.064306,            0.013888,                   0,           0.0012121,             0.16667,          0.00071605,          0.00015476,            0.051969,            0.022322,                   0,           0.0093317,           0.0093317,           0.0093317
                  29,            0.067067,            0.013061,                   0,           0.0012121,             0.16667,          0.00071605,          0.00015476,            0.051969,            0.022322,                   0,            0.009307,            0.009307,            0.009307
                  30,            0.060543,            0.012432,                   0,           0.0045455,               0.625,            0.012012,           0.0023301,            0.049015,            0.024566,                   0,           0.0092823,           0.0092823,           0.0092823
                  31,            0.066712,             0.01087,                   0,           0.0045455,               0.625,            0.012012,           0.0023301,            0.049015,            0.024566,                   0,           0.0092575,           0.0092575,           0.0092575
                  32,            0.066317,            0.014357,                   0,           0.0051515,             0.70833,           0.0058026,           0.0013314,             0.04876,            0.024284,                   0,           0.0092327,           0.0092327,           0.0092327
                  33,            0.065522,            0.012422,                   0,           0.0051515,             0.70833,           0.0058026,           0.0013314,             0.04876,            0.024284,                   0,            0.009208,            0.009208,            0.009208
                  34,            0.077022,            0.014178,                   0,           0.0072727,                   1,            0.021602,           0.0055635,            0.041531,            0.024072,                   0,           0.0091833,           0.0091833,           0.0091833
                  35,            0.055017,            0.015202,                   0,           0.0072727,                   1,            0.021602,           0.0055635,            0.041531,            0.024072,                   0,           0.0091585,           0.0091585,           0.0091585
                  36,            0.062613,            0.012822,                   0,           0.0063636,               0.875,           0.0098305,           0.0024951,            0.049969,            0.021847,                   0,           0.0091337,           0.0091337,           0.0091337
                  37,            0.067306,             0.01034,                   0,           0.0063636,               0.875,           0.0098305,           0.0024951,            0.049969,            0.021847,                   0,            0.009109,            0.009109,            0.009109
                  38,            0.054669,            0.012308,                   0,           0.0066667,             0.91667,            0.059913,            0.014703,            0.048224,            0.021781,                   0,           0.0090843,           0.0090843,           0.0090843
                  39,            0.061399,            0.012747,                   0,           0.0066667,             0.91667,            0.059913,            0.014703,            0.048224,            0.021781,                   0,           0.0090595,           0.0090595,           0.0090595
                  40,            0.074158,             0.01604,                   0,           0.0069697,             0.95833,            0.053601,            0.017369,            0.049675,            0.021443,                   0,           0.0090347,           0.0090347,           0.0090347
                  41,            0.076587,            0.011663,                   0,           0.0069697,             0.95833,            0.053601,            0.017369,            0.049675,            0.021443,                   0,             0.00901,             0.00901,             0.00901
                  42,            0.063146,           0.0098477,                   0,           0.0045455,               0.625,           0.0045255,          0.00098631,            0.056114,            0.019286,                   0,           0.0089853,           0.0089853,           0.0089853
                  43,            0.076687,            0.013855,                   0,           0.0045455,               0.625,           0.0045255,          0.00098631,            0.056114,            0.019286,                   0,           0.0089605,           0.0089605,           0.0089605
                  44,            0.064878,            0.011794,                   0,           0.0063636,               0.875,            0.016308,           0.0038993,            0.044027,            0.023876,                   0,           0.0089358,           0.0089358,           0.0089358
                  45,            0.053612,            0.010483,                   0,           0.0063636,               0.875,            0.016308,           0.0038993,            0.044027,            0.023876,                   0,            0.008911,            0.008911,            0.008911
                  46,            0.066289,            0.016064,                   0,           0.0072727,                   1,             0.19041,            0.075308,            0.039336,            0.024197,                   0,           0.0088863,           0.0088863,           0.0088863
                  47,            0.061736,            0.016477,                   0,           0.0072727,                   1,             0.19041,            0.075308,            0.039336,            0.024197,                   0,           0.0088615,           0.0088615,           0.0088615
                  48,            0.063308,              0.0135,                   0,           0.0072727,                   1,             0.19298,            0.090714,            0.036946,            0.024489,                   0,           0.0088368,           0.0088368,           0.0088368
                  49,            0.055176,            0.011223,                   0,           0.0072727,                   1,             0.19298,            0.090714,            0.036946,            0.024489,                   0,            0.008812,            0.008812,            0.008812
                  50,            0.061101,            0.012298,                   0,           0.0072727,                   1,             0.77189,             0.43326,            0.037255,            0.024073,                   0,           0.0087872,           0.0087872,           0.0087872
                  51,            0.046041,            0.014027,                   0,           0.0072727,                   1,             0.77189,             0.43326,            0.037255,            0.024073,                   0,           0.0087625,           0.0087625,           0.0087625
                  52,            0.055825,            0.010618,                   0,           0.0072727,                   1,             0.88514,             0.33839,            0.034116,             0.02464,                   0,           0.0087378,           0.0087378,           0.0087378
                  53,            0.053632,              0.0161,                   0,           0.0072727,                   1,             0.88514,             0.33839,            0.034116,             0.02464,                   0,            0.008713,            0.008713,            0.008713
                  54,            0.047332,            0.018464,                   0,           0.0072727,                   1,                0.47,            0.093143,            0.048724,            0.020042,                   0,           0.0086882,           0.0086882,           0.0086882
                  55,            0.058682,            0.013499,                   0,           0.0072727,                   1,                0.47,            0.093143,            0.048724,            0.020042,                   0,           0.0086635,           0.0086635,           0.0086635
                  56,            0.064392,            0.012943,                   0,           0.0070015,             0.95833,             0.02505,           0.0074824,            0.037517,            0.023164,                   0,           0.0086388,           0.0086388,           0.0086388
                  57,            0.067163,            0.013613,                   0,           0.0070015,             0.95833,             0.02505,           0.0074824,            0.037517,            0.023164,                   0,            0.008614,            0.008614,            0.008614
                  58,            0.043978,            0.010929,                   0,           0.0072727,                   1,            0.054435,            0.010108,            0.051877,            0.019202,                   0,           0.0085893,           0.0085893,           0.0085893
                  59,            0.069702,            0.011543,                   0,           0.0072727,                   1,            0.054435,            0.010108,            0.051877,            0.019202,                   0,           0.0085645,           0.0085645,           0.0085645
                  60,             0.06817,            0.011431,                   0,           0.0073215,                   1,             0.70224,             0.22527,            0.036069,            0.023195,                   0,           0.0085398,           0.0085398,           0.0085398
                  61,            0.055444,            0.011149,                   0,           0.0073215,                   1,             0.70224,             0.22527,            0.036069,            0.023195,                   0,            0.008515,            0.008515,            0.008515
                  62,            0.056409,            0.010573,                   0,            0.007326,                   1,              0.7736,             0.29334,            0.035226,            0.023601,                   0,           0.0084903,           0.0084903,           0.0084903
                  63,            0.046373,            0.014564,                   0,            0.007326,                   1,              0.7736,             0.29334,            0.035226,            0.023601,                   0,           0.0084655,           0.0084655,           0.0084655
                  64,            0.054183,             0.01434,                   0,            0.007396,                   1,             0.83976,             0.49935,             0.03236,            0.024785,                   0,           0.0084408,           0.0084408,           0.0084408
                  65,            0.047253,            0.012458,                   0,            0.007396,                   1,             0.83976,             0.49935,             0.03236,            0.024785,                   0,            0.008416,            0.008416,            0.008416
                  66,            0.059796,            0.012179,                   0,           0.0074234,                   1,             0.71872,             0.15826,            0.034826,            0.023221,                   0,           0.0083913,           0.0083913,           0.0083913
                  67,            0.051779,            0.010985,                   0,           0.0074234,                   1,             0.71872,             0.15826,            0.034826,            0.023221,                   0,           0.0083665,           0.0083665,           0.0083665
