               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.097231,            0.012992,                   0,           0.0021212,             0.29167,           0.0032933,          0.00041876,            0.060423,            0.020048,                   0,            0.028137,           0.0071375,           0.0071375
                  40,            0.096657,            0.014963,                   0,           0.0030303,             0.41667,            0.002485,          0.00052625,             0.06075,            0.019583,                   0,            0.026298,           0.0072981,           0.0072981
                  41,            0.094345,            0.012151,                   0,           0.0069697,             0.95833,            0.018922,           0.0033319,            0.047504,            0.026324,                   0,            0.024458,           0.0074578,           0.0074578
                  42,            0.073309,            0.011778,                   0,           0.0069697,             0.95833,            0.018922,           0.0033319,            0.047504,            0.026324,                   0,            0.022616,           0.0076164,           0.0076164
                  43,            0.091574,            0.016297,                   0,           0.0066667,             0.91667,            0.015491,           0.0027499,            0.045096,            0.027247,                   0,            0.020774,           0.0077741,           0.0077741
                  44,            0.086231,             0.01497,                   0,           0.0066667,             0.91667,            0.015491,           0.0027499,            0.045096,            0.027247,                   0,            0.018931,           0.0079308,           0.0079308
                  45,            0.086492,             0.01309,                   0,           0.0048485,             0.66667,           0.0049864,          0.00078099,            0.047608,            0.026571,                   0,            0.017086,           0.0080865,           0.0080865
                  46,            0.088384,             0.01712,                   0,           0.0048485,             0.66667,           0.0049864,          0.00078099,            0.047608,            0.026571,                   0,            0.015241,           0.0082412,           0.0082412
                  47,            0.069391,            0.017095,                   0,           0.0048485,             0.66667,            0.005109,          0.00078187,            0.051195,            0.023822,                   0,            0.013395,           0.0083949,           0.0083949
                  48,            0.088533,            0.013345,                   0,           0.0048485,             0.66667,            0.005109,          0.00078187,            0.051195,            0.023822,                   0,            0.011548,           0.0085476,           0.0085476
                  49,            0.090991,            0.011376,                   0,           0.0069697,             0.95833,            0.022658,           0.0063374,            0.041454,            0.028105,                   0,           0.0096994,           0.0086994,           0.0086994
                  50,            0.079374,            0.013652,                   0,           0.0069697,             0.95833,            0.022658,           0.0063374,            0.041454,            0.028105,                   0,           0.0087625,           0.0087625,           0.0087625
                  51,            0.079899,            0.015407,                   0,           0.0066667,             0.91667,            0.012025,           0.0022888,            0.047912,            0.025126,                   0,           0.0087625,           0.0087625,           0.0087625
                  52,            0.087787,            0.011252,                   0,           0.0066667,             0.91667,            0.012025,           0.0022888,            0.047912,            0.025126,                   0,           0.0087378,           0.0087378,           0.0087378
                  53,            0.089272,            0.016626,                   0,           0.0051515,             0.70833,            0.067496,            0.014898,            0.058207,            0.020032,                   0,            0.008713,            0.008713,            0.008713
                  54,            0.096027,            0.015789,                   0,           0.0051515,             0.70833,            0.067496,            0.014898,            0.058207,            0.020032,                   0,           0.0086882,           0.0086882,           0.0086882
                  55,            0.094729,            0.012445,                   0,           0.0072727,                   1,            0.053499,            0.013057,            0.043621,            0.026932,                   0,           0.0086635,           0.0086635,           0.0086635
                  56,            0.085537,             0.01435,                   0,           0.0072727,                   1,            0.053499,            0.013057,            0.043621,            0.026932,                   0,           0.0086388,           0.0086388,           0.0086388
                  57,             0.08349,            0.015051,                   0,           0.0072727,                   1,             0.43315,            0.096979,            0.039968,             0.02812,                   0,            0.008614,            0.008614,            0.008614
                  58,            0.040138,            0.013426,                   0,           0.0072727,                   1,             0.43315,            0.096979,            0.039968,             0.02812,                   0,           0.0085893,           0.0085893,           0.0085893
                  59,            0.073143,            0.014123,                   0,           0.0072727,                   1,             0.34681,            0.067087,            0.042633,            0.026941,                   0,           0.0085645,           0.0085645,           0.0085645
                  60,            0.075011,            0.013105,                   0,           0.0072727,                   1,             0.34681,            0.067087,            0.042633,            0.026941,                   0,           0.0085398,           0.0085398,           0.0085398
                  61,            0.073578,            0.011661,                   0,           0.0072727,                   1,             0.42985,            0.067762,            0.039412,            0.027983,                   0,            0.008515,            0.008515,            0.008515
                  62,            0.076585,            0.011623,                   0,           0.0072727,                   1,             0.42985,            0.067762,            0.039412,            0.027983,                   0,           0.0084903,           0.0084903,           0.0084903
                  63,            0.078568,            0.015118,                   0,           0.0072727,                   1,             0.39419,             0.14857,            0.038784,             0.02815,                   0,           0.0084655,           0.0084655,           0.0084655
                  64,            0.073231,             0.01479,                   0,           0.0072727,                   1,             0.39419,             0.14857,            0.038784,             0.02815,                   0,           0.0084408,           0.0084408,           0.0084408
                  65,            0.077848,            0.013089,                   0,           0.0069697,             0.95833,             0.20033,            0.040054,             0.04272,            0.025889,                   0,            0.008416,            0.008416,            0.008416
                  66,            0.078867,            0.012414,                   0,           0.0069697,             0.95833,             0.20033,            0.040054,             0.04272,            0.025889,                   0,           0.0083913,           0.0083913,           0.0083913
                  67,            0.080663,            0.011438,                   0,           0.0072727,                   1,             0.63588,             0.21209,            0.032343,            0.030145,                   0,           0.0083665,           0.0083665,           0.0083665
                  68,            0.069262,            0.018176,                   0,           0.0072727,                   1,             0.63588,             0.21209,            0.032343,            0.030145,                   0,           0.0083418,           0.0083418,           0.0083418
                  69,            0.052329,            0.015483,                   0,           0.0072727,                   1,             0.31922,            0.063684,            0.040558,            0.026178,                   0,            0.008317,            0.008317,            0.008317
                  70,            0.077668,            0.011252,                   0,           0.0072727,                   1,             0.31922,            0.063684,            0.040558,            0.026178,                   0,           0.0082922,           0.0082922,           0.0082922
                  71,            0.059842,            0.013069,                   0,           0.0072727,                   1,             0.71456,             0.22106,             0.03983,             0.02589,                   0,           0.0082675,           0.0082675,           0.0082675
                  72,            0.068157,            0.010986,                   0,           0.0072727,                   1,             0.71456,             0.22106,             0.03983,             0.02589,                   0,           0.0082428,           0.0082428,           0.0082428
                  73,            0.067901,            0.014026,                   0,            0.015506,                   1,             0.71365,              0.2144,            0.037676,            0.026774,                   0,            0.008218,            0.008218,            0.008218
                  74,            0.074633,            0.015438,                   0,            0.015506,                   1,             0.71365,              0.2144,            0.037676,            0.026774,                   0,           0.0081932,           0.0081932,           0.0081932
                  75,            0.074054,            0.014527,                   0,             0.47565,             0.91667,             0.79587,             0.37831,            0.034562,            0.027496,                   0,           0.0081685,           0.0081685,           0.0081685
                  76,            0.046802,            0.013971,                   0,             0.47565,             0.91667,             0.79587,             0.37831,            0.034562,            0.027496,                   0,           0.0081437,           0.0081437,           0.0081437
                  77,            0.063311,            0.015669,                   0,             0.80608,             0.70833,             0.83805,             0.39607,            0.032182,            0.027342,                   0,            0.008119,            0.008119,            0.008119
                  78,            0.045021,            0.014712,                   0,             0.80608,             0.70833,             0.83805,             0.39607,            0.032182,            0.027342,                   0,           0.0080942,           0.0080942,           0.0080942
                  79,            0.060849,            0.015722,                   0,             0.75842,             0.33333,             0.72201,             0.20101,            0.037488,            0.024096,                   0,           0.0080695,           0.0080695,           0.0080695
                  80,            0.070096,            0.011195,                   0,             0.75842,             0.33333,             0.72201,             0.20101,            0.037488,            0.024096,                   0,           0.0080447,           0.0080447,           0.0080447
                  81,            0.069939,           0.0098972,                   0,             0.88618,             0.32519,              0.7004,             0.33129,            0.033317,            0.026312,                   0,             0.00802,             0.00802,             0.00802
                  82,            0.065336,            0.012519,                   0,             0.88618,             0.32519,              0.7004,             0.33129,            0.033317,            0.026312,                   0,           0.0079953,           0.0079953,           0.0079953
                  83,            0.067284,            0.014441,                   0,             0.25083,             0.79167,             0.25412,            0.057473,            0.049926,            0.019735,                   0,           0.0079705,           0.0079705,           0.0079705
                  84,            0.069539,            0.011992,                   0,             0.25083,             0.79167,             0.25412,            0.057473,            0.049926,            0.019735,                   0,           0.0079457,           0.0079457,           0.0079457
                  85,            0.072563,            0.011707,                   0,             0.45533,             0.29167,             0.47323,             0.14805,            0.036473,             0.02449,                   0,            0.007921,            0.007921,            0.007921
                  86,            0.048756,            0.013285,                   0,             0.45533,             0.29167,             0.47323,             0.14805,            0.036473,             0.02449,                   0,           0.0078963,           0.0078963,           0.0078963
